model,accuracy,precision,recall,f1_score,roc_auc,true_negative,false_positive,false_negative,true_positive
SVM Tuned,0.6748971193415638,0.4,0.5079365079365079,0.44755244755244755,0.6242504409171076,132,48,31,32
Random Forest Tuned,0.7242798353909465,0.46551724137931033,0.42857142857142855,0.4462809917355372,0.6181657848324515,149,31,36,27
